obs_start,obs_end,length,iteration,distribution
6333067,6333067,1,0,geom2
7051139,7051273,135,0,geom2
5982175,5982175,1,0,geom2
1158368,1158368,1,0,geom2
1300754,1300754,1,0,geom2
7667016,7667016,1,0,geom2
6905122,6905122,1,0,geom2
4274861,4274861,1,0,geom2
9048000,9048000,1,0,geom2
3161999,3161999,1,0,geom2
8270080,8270168,89,0,geom2
293833,293964,132,0,geom2
5855560,5855560,1,0,geom2
126917,126917,1,0,geom2
2404911,2404911,1,0,geom2
4858320,4858320,1,0,geom2
3676052,3676052,1,0,geom2
4333234,4333234,1,0,geom2
7489768,7489768,1,0,geom2
7386460,7386460,1,0,geom2
8848444,8848444,1,0,geom2
5342151,5342151,1,0,geom2
478860,478860,1,0,geom2
48702,48702,1,0,geom2
2626557,2626557,1,0,geom2
6814892,6814892,1,0,geom2
3363155,3363155,1,0,geom2
9763056,9763056,1,0,geom2
4400793,4400793,1,0,geom2
1940737,1940737,1,0,geom2
64615,64615,1,0,geom2
796160,796160,1,0,geom2
4187066,4187066,1,0,geom2
657383,657383,1,0,geom2
6479354,6479354,1,0,geom2
454483,454483,1,0,geom2
7760646,7760646,1,0,geom2
6436170,6436170,1,0,geom2
8760536,8760536,1,0,geom2
4954740,4954740,1,0,geom2
1942728,1942728,1,0,geom2
9599728,9599728,1,0,geom2
6595216,6595336,121,0,geom2
1992792,1992792,1,0,geom2
6478896,6478896,1,0,geom2
9188379,9188379,1,0,geom2
4282693,4282693,1,0,geom2
3849278,3849278,1,0,geom2
1000398,1000398,1,0,geom2
187759,187759,1,0,geom2
7355389,7355389,1,0,geom2
2186619,2186619,1,0,geom2
6327490,6327490,1,0,geom2
7279602,7279602,1,0,geom2
960023,960023,1,0,geom2
9119549,9119549,1,0,geom2
3846954,3846954,1,0,geom2
1004922,1004922,1,0,geom2
5061615,5061615,1,0,geom2
9411398,9411398,1,0,geom2
4078793,4078793,1,0,geom2
6456881,6456881,1,0,geom2
2439719,2439719,1,0,geom2
8837945,8837945,1,0,geom2
2940402,2940402,1,0,geom2
9995856,9995856,1,0,geom2
3020435,3020435,1,0,geom2
6520868,6520919,52,0,geom2
4038810,4038810,1,0,geom2
679983,679983,1,0,geom2
2157652,2157652,1,0,geom2
3439337,3439337,1,0,geom2
2806527,2806527,1,0,geom2
5603718,5603718,1,0,geom2
6902188,6902188,1,0,geom2
3128656,3128656,1,0,geom2
8059541,8059541,1,0,geom2
9596719,9596719,1,0,geom2
7783435,7783435,1,0,geom2
6878025,6878025,1,0,geom2
3511825,3511825,1,0,geom2
4956730,4956730,1,0,geom2
93714,93714,1,0,geom2
2164791,2164791,1,0,geom2
3415997,3415997,1,0,geom2
948255,948255,1,0,geom2
9717176,9717176,1,0,geom2
6547264,6547292,29,0,geom2
1788280,1788280,1,0,geom2
1033712,1033712,1,0,geom2
49342,49342,1,0,geom2
9774879,9774879,1,0,geom2
2659554,2659554,1,0,geom2
3242503,3242503,1,0,geom2
5983408,5983408,1,0,geom2
7449568,7449568,1,0,geom2
7472947,7472947,1,0,geom2
7912917,7912917,1,0,geom2
4756647,4756647,1,0,geom2
9849690,9849690,1,0,geom2
5275721,5275721,1,0,geom2
8765185,8765185,1,0,geom2
6174402,6174402,1,0,geom2
8577102,8577102,1,0,geom2
1341845,1341845,1,0,geom2
4588954,4588954,1,0,geom2
8886516,8886516,1,0,geom2
6345247,6345247,1,0,geom2
8857625,8857625,1,0,geom2
5804873,5804873,1,0,geom2
3282844,3282844,1,0,geom2
1367990,1367990,1,0,geom2
6515457,6515457,1,0,geom2
2357746,2357746,1,0,geom2
940756,940756,1,0,geom2
3242905,3242905,1,0,geom2
7629048,7629048,1,0,geom2
1369417,1369417,1,0,geom2
1830758,1830758,1,0,geom2
66289,66289,1,0,geom2
9712287,9712287,1,0,geom2
2244336,2244336,1,0,geom2
2522859,2522859,1,0,geom2
1539432,1539432,1,0,geom2
3250639,3250639,1,0,geom2
1984158,1984225,68,0,geom2
8890074,8890074,1,0,geom2
7430266,7430266,1,0,geom2
9496560,9496560,1,0,geom2
4658056,4658056,1,0,geom2
1151204,1151204,1,0,geom2
8983536,8983536,1,0,geom2
134270,134270,1,0,geom2
1591698,1591698,1,0,geom2
2784310,2784310,1,0,geom2
8722443,8722443,1,0,geom2
1415253,1415253,1,0,geom2
4631279,4631279,1,0,geom2
226222,226222,1,0,geom2
8873122,8873122,1,0,geom2
5572726,5572726,1,0,geom2
3858816,3858816,1,0,geom2
1553434,1553434,1,0,geom2
8649787,8649787,1,0,geom2
1780838,1780838,1,0,geom2
3826479,3826479,1,0,geom2
7911454,7911454,1,0,geom2
7490274,7490274,1,0,geom2
1341143,1341143,1,0,geom2
9763450,9763450,1,0,geom2
1568738,1568738,1,0,geom2
6615899,6615899,1,0,geom2
6556136,6556136,1,0,geom2
1154946,1154946,1,0,geom2
4132782,4132782,1,0,geom2
1464394,1464394,1,0,geom2
6029022,6029022,1,0,geom2
2735703,2735703,1,0,geom2
2647626,2647626,1,0,geom2
1649584,1649584,1,0,geom2
2399867,2399867,1,0,geom2
7076071,7076071,1,0,geom2
5659801,5659801,1,0,geom2
9814432,9814432,1,0,geom2
7998331,7998331,1,0,geom2
9330293,9330293,1,0,geom2
2246207,2246207,1,0,geom2
4229582,4229582,1,0,geom2
9235517,9235517,1,0,geom2
7503597,7503597,1,0,geom2
2151431,2151431,1,0,geom2
4487842,4487842,1,0,geom2
1520634,1520634,1,0,geom2
5556047,5556047,1,0,geom2
9471517,9471517,1,0,geom2
8158233,8158233,1,0,geom2
6291975,6291975,1,0,geom2
9322029,9322029,1,0,geom2
8065715,8065715,1,0,geom2
1914895,1914895,1,0,geom2
1999128,1999128,1,0,geom2
2741906,2741906,1,0,geom2
6156804,6156804,1,0,geom2
8781280,8781280,1,0,geom2
8773175,8773175,1,0,geom2
5626570,5626570,1,0,geom2
6217752,6217752,1,0,geom2
7703326,7703326,1,0,geom2
6544720,6544720,1,0,geom2
9565780,9565780,1,0,geom2
75788,75788,1,0,geom2
5811009,5811009,1,0,geom2
2746273,2746273,1,0,geom2
491012,491012,1,0,geom2
6424326,6424326,1,0,geom2
5751694,5751694,1,0,geom2
5579871,5579871,1,0,geom2
9005996,9005996,1,0,geom2
9759322,9759322,1,0,geom2
9892520,9892520,1,0,geom2
7564301,7564301,1,0,geom2
8593945,8593945,1,0,geom2
795603,795603,1,0,geom2
46582,46582,1,0,geom2
6544281,6544281,1,0,geom2
6152920,6152920,1,0,geom2
6160333,6160333,1,0,geom2
3913315,3913315,1,0,geom2
7279704,7279704,1,0,geom2
2102358,2102358,1,0,geom2
9411398,9411398,1,0,geom2
4959386,4959386,1,0,geom2
2375873,2375873,1,0,geom2
5070156,5070156,1,0,geom2
6987304,6987304,1,0,geom2
2781755,2781755,1,0,geom2
1775345,1775345,1,0,geom2
963356,963356,1,0,geom2
5382729,5382729,1,0,geom2
1760735,1760735,1,0,geom2
5869482,5869482,1,0,geom2
8801822,8801822,1,0,geom2
7283211,7283211,1,0,geom2
3159327,3159327,1,0,geom2
9386920,9386920,1,0,geom2
1769751,1769751,1,0,geom2
9644726,9644726,1,0,geom2
7760053,7760053,1,0,geom2
4175163,4175163,1,0,geom2
7322578,7322578,1,0,geom2
8194439,8194439,1,0,geom2
7380599,7380599,1,0,geom2
4287741,4287741,1,0,geom2
8090330,8090330,1,0,geom2
5392500,5392500,1,0,geom2
1883505,1883505,1,0,geom2
7373979,7373979,1,0,geom2
2471579,2471579,1,0,geom2
787436,787504,69,0,geom2
8571354,8571354,1,0,geom2
38397,38397,1,0,geom2
1723916,1723916,1,0,geom2
487960,487960,1,0,geom2
7763195,7763195,1,0,geom2
5317239,5317239,1,0,geom2
8066754,8066754,1,0,geom2
891946,891946,1,0,geom2
1149747,1149747,1,0,geom2
5522969,5522969,1,0,geom2
4588194,4588194,1,0,geom2
6356814,6356814,1,0,geom2
3271092,3271092,1,0,geom2
7031489,7031489,1,0,geom2
9012554,9012554,1,0,geom2
858402,858402,1,0,geom2
7078948,7078948,1,0,geom2
5993790,5993790,1,0,geom2
8637365,8637365,1,0,geom2
9581371,9581371,1,0,geom2
9640332,9640332,1,0,geom2
3153998,3153998,1,0,geom2
2391698,2391698,1,0,geom2
3840152,3840152,1,0,geom2
29391,29391,1,0,geom2
4357668,4357668,1,0,geom2
9606711,9606711,1,0,geom2
4133144,4133144,1,0,geom2
410469,410469,1,0,geom2
743302,743302,1,0,geom2
573030,573030,1,0,geom2
2291032,2291032,1,0,geom2
5987983,5987983,1,0,geom2
8529336,8529336,1,0,geom2
210642,210642,1,0,geom2
9098132,9098132,1,0,geom2
2038203,2038203,1,0,geom2
7820918,7820918,1,0,geom2
6556851,6556851,1,0,geom2
1438339,1438339,1,0,geom2
4935589,4935589,1,0,geom2
5591122,5591122,1,0,geom2
468287,468287,1,0,geom2
7008979,7008979,1,0,geom2
1010326,1010326,1,0,geom2
4710133,4710133,1,0,geom2
1555763,1555763,1,0,geom2
2927930,2927930,1,0,geom2
6864985,6864985,1,0,geom2
2209181,2209181,1,0,geom2
2047732,2047732,1,0,geom2
7905668,7905763,96,0,geom2
6010487,6010487,1,0,geom2
6824773,6824773,1,0,geom2
7013486,7013486,1,0,geom2
8510684,8510684,1,0,geom2
5432623,5432623,1,0,geom2
7434674,7434674,1,0,geom2
7271950,7271950,1,0,geom2
3026940,3026940,1,0,geom2
2164436,2164436,1,0,geom2
9436689,9436689,1,0,geom2
7521549,7521549,1,0,geom2
8898780,8898780,1,0,geom2
8110083,8110083,1,0,geom2
2713502,2713502,1,0,geom2
5068321,5068321,1,0,geom2
5201595,5201595,1,0,geom2
2423194,2423194,1,0,geom2
3145683,3145683,1,0,geom2
1972852,1972852,1,0,geom2
6046719,6046719,1,0,geom2
8885187,8885187,1,0,geom2
1008352,1008352,1,0,geom2
9050738,9050738,1,0,geom2
6566403,6566403,1,0,geom2
4752334,4752334,1,0,geom2
833742,833765,24,0,geom2
7297021,7297021,1,0,geom2
6853353,6853353,1,0,geom2
9376121,9376121,1,0,geom2
1578743,1578743,1,0,geom2
1954889,1954889,1,0,geom2
5996960,5996960,1,0,geom2
5991472,5991472,1,0,geom2
5909245,5909245,1,0,geom2
6775729,6775729,1,0,geom2
1942289,1942289,1,0,geom2
758134,758134,1,0,geom2
9819294,9819294,1,0,geom2
8153025,8153025,1,0,geom2
2443076,2443168,93,0,geom2
9012554,9012554,1,0,geom2
9560798,9560798,1,0,geom2
3846954,3846954,1,0,geom2
1802201,1802201,1,0,geom2
2470373,2470373,1,0,geom2
1542707,1542707,1,0,geom2
673238,673243,6,0,geom2
2732802,2732802,1,0,geom2
5317239,5317239,1,0,geom2
5695689,5695689,1,0,geom2
5703853,5703853,1,0,geom2
7481009,7481009,1,0,geom2
8738632,8738637,6,0,geom2
2244422,2244422,1,0,geom2
7512480,7512480,1,0,geom2
1903736,1903736,1,0,geom2
8597270,8597270,1,0,geom2
4801056,4801056,1,0,geom2
6066363,6066363,1,0,geom2
6600722,6600722,1,0,geom2
9021919,9021919,1,0,geom2
1625386,1625386,1,0,geom2
6356165,6356165,1,0,geom2
2724179,2724179,1,0,geom2
9470363,9470363,1,0,geom2
9971276,9971276,1,0,geom2
4870492,4870492,1,0,geom2
3130286,3130286,1,0,geom2
7293335,7293335,1,0,geom2
8818252,8818252,1,0,geom2
3051525,3051525,1,0,geom2
1830877,1830877,1,0,geom2
3828703,3828703,1,0,geom2
2142585,2142585,1,0,geom2
5562359,5562359,1,0,geom2
9765645,9765645,1,0,geom2
2098943,2098943,1,0,geom2
9224368,9224368,1,0,geom2
5912471,5912471,1,0,geom2
8407699,8407777,79,0,geom2
3342116,3342116,1,0,geom2
4333589,4333589,1,0,geom2
8828947,8828947,1,0,geom2
3925758,3925758,1,0,geom2
1918262,1918262,1,0,geom2
4022166,4022166,1,0,geom2
9564841,9564841,1,0,geom2
1975041,1975041,1,0,geom2
2654323,2654323,1,0,geom2
7846749,7846749,1,0,geom2
7475560,7475560,1,0,geom2
7303590,7303590,1,0,geom2
4351096,4351096,1,0,geom2
9014714,9014714,1,0,geom2
3664709,3664709,1,0,geom2
3594605,3594605,1,0,geom2
134529,134529,1,0,geom2
93108,93173,66,0,geom2
5644783,5644783,1,0,geom2
9628307,9628338,32,0,geom2
3338131,3338131,1,0,geom2
8082882,8082882,1,0,geom2
9538699,9538699,1,0,geom2
3601401,3601401,1,0,geom2
6184951,6184951,1,0,geom2
7348382,7348382,1,0,geom2
5330983,5330983,1,0,geom2
5355427,5355427,1,0,geom2
3569723,3569723,1,0,geom2
288004,288004,1,0,geom2
3588356,3588356,1,0,geom2
3754357,3754357,1,0,geom2
7834314,7834314,1,0,geom2
3661103,3661103,1,0,geom2
3676809,3676809,1,0,geom2
7108298,7108298,1,0,geom2
5579318,5579318,1,0,geom2
5333416,5333416,1,0,geom2
7986314,7986407,94,0,geom2
6524593,6524593,1,0,geom2
6768248,6768248,1,0,geom2
8628127,8628127,1,0,geom2
971473,971473,1,0,geom2
23361,23361,1,0,geom2
3230468,3230468,1,0,geom2
259819,259819,1,0,geom2
4274861,4274861,1,0,geom2
8218371,8218371,1,0,geom2
1861720,1861720,1,0,geom2
5944044,5944044,1,0,geom2
1246919,1246919,1,0,geom2
1591525,1591596,72,0,geom2
402457,402457,1,0,geom2
5471567,5471567,1,0,geom2
204673,204759,87,0,geom2
166995,166995,1,0,geom2
7672747,7672747,1,0,geom2
3825502,3825502,1,0,geom2
8650103,8650103,1,0,geom2
5343449,5343449,1,0,geom2
7243400,7243400,1,0,geom2
8646108,8646108,1,0,geom2
8011526,8011526,1,0,geom2
1094447,1094447,1,0,geom2
452338,452442,105,0,geom2
8145639,8145639,1,0,geom2
5915631,5915631,1,0,geom2
4479035,4479035,1,0,geom2
5071584,5071584,1,0,geom2
1452979,1452979,1,0,geom2
9847222,9847222,1,0,geom2
3865314,3865314,1,0,geom2
9898226,9898226,1,0,geom2
5392027,5392027,1,0,geom2
9733661,9733661,1,0,geom2
6401140,6401140,1,0,geom2
1782931,1782931,1,0,geom2
9195292,9195292,1,0,geom2
93173,93173,1,0,geom2
571574,571574,1,0,geom2
6309989,6309989,1,0,geom2
2929626,2929626,1,0,geom2
8534352,8534352,1,0,geom2
2175711,2175711,1,0,geom2
7952605,7952605,1,0,geom2
9616215,9616215,1,0,geom2
6401530,6401530,1,0,geom2
4842002,4842002,1,0,geom2
1140937,1140937,1,0,geom2
3322712,3322712,1,0,geom2
4610185,4610185,1,0,geom2
1546904,1546904,1,0,geom2
3688140,3688140,1,0,geom2
5681443,5681443,1,0,geom2
9436470,9436470,1,0,geom2
2236125,2236125,1,0,geom2
6182112,6182139,28,0,geom2
1787996,1787996,1,0,geom2
8649055,8649055,1,0,geom2
8318656,8318656,1,0,geom2
2033073,2033203,131,0,geom2
7372998,7372998,1,0,geom2
3035105,3035384,280,0,geom2
6308083,6308159,77,0,geom2
1930988,1930988,1,0,geom2
2471579,2471579,1,0,geom2
3050889,3050889,1,0,geom2
6423459,6423459,1,0,geom2
7250214,7250214,1,0,geom2
6524064,6524159,96,0,geom2
3352203,3352234,32,0,geom2
1944693,1944693,1,0,geom2
4076291,4076291,1,0,geom2
8950051,8950051,1,0,geom2
8338424,8338424,1,0,geom2
5277581,5277581,1,0,geom2
8498492,8498492,1,0,geom2
838207,838207,1,0,geom2
4604776,4604776,1,0,geom2
6792636,6792636,1,0,geom2
9376121,9376121,1,0,geom2
6581537,6581537,1,0,geom2
7585137,7585137,1,0,geom2
7701511,7701511,1,0,geom2
8943176,8943176,1,0,geom2
2226346,2226346,1,0,geom2
8290136,8290136,1,0,geom2
3001937,3001937,1,0,geom2
1809426,1809426,1,0,geom2
4228945,4228945,1,0,geom2
9604067,9604067,1,0,geom2
2126710,2126710,1,0,geom2
4609463,4609463,1,0,geom2
7030449,7030449,1,0,geom2
834162,834162,1,0,geom2
5382247,5382247,1,0,geom2
8565775,8565775,1,0,geom2
5523999,5523999,1,0,geom2
2691833,2691833,1,0,geom2
3755380,3755380,1,0,geom2
713493,713493,1,0,geom2
7038752,7038752,1,0,geom2
9324470,9324470,1,0,geom2
9095212,9095264,53,0,geom2
854615,854615,1,0,geom2
5542406,5542406,1,0,geom2
8465816,8465821,6,0,geom2
4285451,4285451,1,0,geom2
8867886,8867886,1,0,geom2
1442796,1442837,42,0,geom2
1313203,1313203,1,0,geom2
283736,283736,1,0,geom2
9611405,9611405,1,0,geom2
4762077,4762077,1,0,geom2
4934252,4934252,1,0,geom2
997637,997637,1,0,geom2
3354571,3354571,1,0,geom2
1602490,1602490,1,0,geom2
996392,996392,1,0,geom2
2164436,2164436,1,0,geom2
132901,132901,1,0,geom2
3977179,3977179,1,0,geom2
8065715,8065715,1,0,geom2
8513762,8513762,1,0,geom2
5338886,5338886,1,0,geom2
4955256,4955256,1,0,geom2
4084196,4084196,1,0,geom2
71690,71690,1,0,geom2
8343662,8343662,1,0,geom2
792748,792748,1,0,geom2
7162669,7162669,1,0,geom2
9060260,9060260,1,0,geom2
6248879,6248879,1,0,geom2
9014327,9014327,1,0,geom2
2802660,2802660,1,0,geom2
8215606,8215606,1,0,geom2
2218193,2218193,1,0,geom2
8032642,8032642,1,0,geom2
3741509,3741509,1,0,geom2
7931481,7931481,1,0,geom2
50823,50823,1,0,geom2
6507665,6507665,1,0,geom2
49645,49645,1,0,geom2
219654,219654,1,0,geom2
2243271,2243271,1,0,geom2
6323087,6323087,1,0,geom2
5791202,5791202,1,0,geom2
7049106,7049106,1,0,geom2
3558979,3558979,1,0,geom2
1813210,1813210,1,0,geom2
251949,251990,42,0,geom2
7772696,7772696,1,0,geom2
8780948,8780948,1,0,geom2
8097669,8097712,44,0,geom2
8467622,8467622,1,0,geom2
3368083,3368083,1,0,geom2
8441394,8441394,1,0,geom2
3677938,3677938,1,0,geom2
9040673,9040673,1,0,geom2
6478657,6478657,1,0,geom2
6538527,6538527,1,0,geom2
9287604,9287604,1,0,geom2
601086,601086,1,0,geom2
4792700,4792700,1,0,geom2
8589654,8589654,1,0,geom2
3654776,3654776,1,0,geom2
2656925,2656925,1,0,geom2
6767257,6767257,1,0,geom2
